"","comm_name","fishery","year","date","action","reason","lat_s","lat_n","where","link","notes"
"1","CHECK FOR SSMA",NA,2017,NA,NA,NA,47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2016-2017%20files/January%207%20opening%20coast%20wide.pdf","CHECK and ask Chris about this reversion: http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice%2003%2002%2017.pdf"
"2","CHECK WHA HAPPEND WITH THIS AREA",NA,2013,NA,NA,NA,47.08,47.245,"Quinault Secondary SMA, Copalis River to Split Rock","http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf",NA
"3","CHECK WHAT HAPPEND WITH THIS AREA",NA,2015,NA,NA,NA,47.08,47.28,"Quinault SMA, Copalis River to Raft River","http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf","need to undedestand what happens witht he secondary SMA, READ: http://www.psmfc.org/crab/2014-2015%20files/WA_04012015.pdf"
"4","Dungeness Crab","commercial",2004,2004-12-01,"close","body condition",45.46,48.48,"Cape Falcon, OR to WA-Canada border","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"5","Dungeness Crab","commercial",2004,2004-12-01,"open","body condition",32.534343,45.46,"Cape Falcon, CA to Cape Flacon OR","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"6","Dungeness Crab","commercial",2005,2005-01-15,"open","body condition",45.46,48.48,"Cape Falcon, OR to WA-Canada border","http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf",NA
"7","Dungeness Crab","commercial",2005,2005-12-01,"close","body condition",38.908,48.48,"Point Arenas, Point Arenas CA to WA-Canada border","http://www.psmfc.org/crab/2005-2006%20files/ODFG_2005%20Season%20Opener%20delay%20FINAL%20release%203%20pm.pdf","Recreational harvest of Dungeness crab in Oregon’s bays and estuaries will remain
open. Commercial harvest of crab in bays and estuaries will also remain open through
Dec. 31"
"8","Dungeness Crab","commercial",2005,2005-12-31,"open","body condition",38.908,48.48,"Point Arenas, Point Arenas CA to WA-Canada border","http://www.psmfc.org/crab/2005-2006%20files/news%20release%2012.9.05.pdf",NA
"9","Dungeness Crab","commercial",2006,2006-12-01,"open","body condition",41.9981226,46.264709,"OR","http://www.psmfc.org/crab/2006-2007%20files/2006-07%20season%20mailing%2011%2022%2006%20FINAL.pdf",NA
"10","Dungeness Crab","commercial",2006,2006-12-01,"close","gear reduction",46.15,46.28,"OR-WA border to Klipsan Beach","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Includes Willapa Bay"
"11","Dungeness Crab","commercial",2006,2006-12-01,"close","body condition",46.28,47.405,"Kalipsan Beach to Destruction Island","http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf","Special Management Area (SMA) between the mouth of the Copalis River and Destruction Island will be closed to the state fishery"
