Year,Date,Species (parts),Fishery type,Action (close/open),Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Link,Notes
2015,"November 5, 2015",Dungeness crab (whole),Commercial/recreational,close,Domoic acid,closure,Ventura/Santa Barbara county line north,34.376279,42,https://cdfgnews.wordpress.com/2015/11/05/commission-delays-opener-of-recreational-dungeness-crab-season-and-closes-northern-part-of-recreational-california-rock-crab-fishery/,https://cdfwmarine.wordpress.com/2015/12/01/reminder-crab-fishery-closures/
2015,"November 5, 2015",Rock crab (whole),Commercial/recreational,close,Domoic acid,closure,Ventura/Santa Barbara county line north,34.376279,42,https://cdfgnews.wordpress.com/2015/11/05/commission-delays-opener-of-recreational-dungeness-crab-season-and-closes-northern-part-of-recreational-california-rock-crab-fishery/,
2016,"February 11, 2016",Rock crab (meat),Commercial/recreational,open,Domoic acid,closure,Piedras Blancas Light Station (35° 40′ N ) south,32.534343,35.66666667,https://cdfgnews.wordpress.com/2016/02/11/recreational-dungeness-crab-fisheries-open-south-of-point-reyes/,
2016,"February 11, 2016",Dungeness crab (meat),Recreational,open,Domoic acid,closure,"Point Reyes, Marin County (38°N) south",32.534343,38,https://cdfgnews.wordpress.com/2016/02/11/recreational-dungeness-crab-fisheries-open-south-of-point-reyes/,
2016,"March 11, 2016",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Sonoma-Mendocino County line south,32.534343,38.766488,https://cdfwmarine.wordpress.com/2016/04/04/dungeness-crab-open-south-of-mendocino-county/,
2016,"March 26, 2016",Dungeness crab (whole),Commercial,open,Domoic acid,closure,Sonoma-Mendocino County line south,32.534343,38.766488,https://cdfwmarine.wordpress.com/2016/04/04/dungeness-crab-open-south-of-mendocino-county/,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=121575&inline
2016,"April 4, 2016",Rock crab (whole),Commercial/recreational,open,Domoic acid,closure,"The Channel Islands of Santa Cruz, Santa Rosa, and San Miguel except for an exclusion area bounded by straight lines connecting the following points in the order listed:

 34° 07.75’ N lat. 120° 00.00’ W long.;
 34° 07.75’ N lat. 119° 50.00’ W long.;
 33° 53.00’ N lat. 119° 50.00’ W long.;
 33° 53.00’ N lat. 120° 00.00’ W long.; and
 34° 07.75’ N lat. 120° 00.00’ W long.",NA,NA,https://cdfwmarine.wordpress.com/2016/04/04/dungeness-crab-open-south-of-mendocino-county/,
2016,"April 27, 2016",Razor clam (whole),Recreational,close,Domoic acid,closure,Humboldt and Del Norte counties,40.00126,42,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=138030&inline,
2016,"May 2, 2016",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Humboldt Bay north jetty (40° 46.15′ N) south,32.534343,40.76916667,https://cdfwmarine.wordpress.com/2016/05/04/northern-california-recreational-crab-season-update/,Two areas: Humboldt Bay north jetty (40° 46.15′ N) south and Reading Rock SMCA south end (41° 17.6’ N) north
2016,"May 2, 2016",Dungeness crab (whole),Recreational,open,Domoic acid,closure,Reading Rock SMCA south end (41° 17.6’ N) north,41.29333333,42,https://cdfwmarine.wordpress.com/2016/05/04/northern-california-recreational-crab-season-update/,Two areas: Humboldt Bay north jetty (40° 46.15′ N) south and Reading Rock SMCA south end (41° 17.6’ N) north
