Year,Number,Date,Species (parts),Fishery type,Action (close/open),Reason,Type of action,Where (south to north),S. Latitude (°N),N. Latitude (°N),Link,Notes
2014,NA,10-Oct-14,"Lobster (viscera), rock crab (viscera), mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,,Ventura county,34.047122,34.376279,NA,
2015,15-016,6-Feb-15,"Lobster (viscera), rock crab (viscera), mussels (whole), clams (whole), scallops (whole)",Recreational,open,Domoic acid,advisory,Ventura county,34.047122,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-016.aspx,
2015,15-031,1-May-15,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-031.aspx,
2015,15-038,1-Jun-15,"Mussels (whole), clams (whole)",Recreational,close,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-038.aspx,
2015,15-038,1-Jun-15,"Anchovies (viscera), sardines (viscera), Dungeness crab (viscera), rock crab (viscera)",Commercial/recreational,close,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-038.aspx,This press release incorrectly suggested that anchovy/sardine meat should not be eaten but the next press release clarified that only the viscera should not be eaten.
2015,15-041,8-Jun-15,Scallops (viscera),Recreational,close,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-041.aspx,
2015,15-047,3-Jul-15,"Mussels (whole), clams (whole)",Recreational,close,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-047.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-047,3-Jul-15,"Mussels (whole), clams (whole)",Recreational,close,Domoic acid,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-047.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-047,3-Jul-15,"Anchovies (whole), sardines (whole), Dungeness crabs (whole), rock crabs (whole)",Commercial/recreational,close,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-047.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-047,3-Jul-15,"Anchovies (whole), sardines (whole), Dungeness crabs (whole), rock crabs (whole)",Commercial/recreational,close,Domoic acid,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-047.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-063,26-Aug-15,"Mussels (whole), clams (whole), scallops (viscera)",Recreational,close,Domoic acid,advisory,Humboldt and Del Norte counties,40.00126,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-063.aspx,
2015,15-080,31-Oct-15,Mussels (whole),Recreational,open,Annual quarantine,closure,San Mateo to Mendocino counties,37.107296,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-080.aspx,"Announcement: California coast except Del Norte, Humboldt, Santa Cruz, Monterey and Santa Barbara counties"
2015,15-080,31-Oct-15,Mussels (whole),Recreational,open,Annual quarantine,closure,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-080.aspx,"Announcement: California coast except Del Norte, Humboldt, Santa Cruz, Monterey and Santa Barbara counties"
2015,15-080,31-Oct-15,Mussels (whole),Recreational,open,Annual quarantine,closure,San Diego to Ventura county,32.534343,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-080.aspx,"Announcement: California coast except Del Norte, Humboldt, Santa Cruz, Monterey and Santa Barbara counties"
2015,15-082,3-Nov-15,"Dungeness crab (whole), rock crab (whole)",Commercial/recreational,close,Domoic acid,advisory,Santa Barbara county north,34.376279,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-082.aspx,
2015,15-086,13-Nov-15,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-086.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-086,13-Nov-15,"Mussels (whole), clams (whole)",Recreational,open,Domoic acid,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-086.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-086,13-Nov-15,"Anchovies (whole), sardines (whole)",Commercial/recreational,open,Domoic acid,advisory,Monterey and Santa Cruz counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-086.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-086,13-Nov-15,"Anchovies (whole), sardines (whole)",Commercial/recreational,open,Domoic acid,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-086.aspx,"Announcement for: Monterey, Santa Cruz, and Santa Barbara counties"
2015,15-089,9-Dec-15,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,Domoic acid,advisory,Humboldt and Del Norte counties,40.00126,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-089.aspx,All except razor clams should be open now
2015,15-094,31-Dec-15,"Dungeness crab (whole), rock crab (whole)",Commercial/recreational,open,Domoic acid,advisory,"Santa Barbara/Ventura county line (34.376279) to Piedras Blancas Light Station, San Luis Obispo County (35° 40' N)",34.376279,35.66666667,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-094.aspx,
2016,16-007 ,11-Feb-16,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,Point Reyes (38° 00' N) south,32.534343,38,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-007.aspx,
2016,16-014 ,18-Mar-16,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,Sonoma/Mendocino county line (38° 46.1' N) south,32.534343,38.76833333,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-014.aspx,
2016,16-017 ,28-Mar-16,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Off the coast of Santa Barbara County in state waters around the Santa Cruz, Santa Rosa and San Miguel Islands (Channel Islands), with the exception of one area between Santa Rosa Island and Santa Cruz Island with the following coordinates: 
(1)  34° 7.75’ N lat. 120° 0.00’ W long.;
(2)  34° 7.75’ N lat. 119° 50.00’ W long.;
(3)  33° 53.00’ N lat. 119° 50.00’ W long.;
(4)  33° 53.00’ N lat. 120° 0.00’ W long.; and
(5)  34° 7.75’ N lat. 120° 0.00’ W long.",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-017.aspx,
2016,16-022,22-Apr-16,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Humboldt Bay north jetty (40°46.15′ N) south, including Humboldt Bay",32.534343,40.76916667,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-022.aspx,
2016,16-023 ,22-Apr-16,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"state waters south of Latitude 36° 58.72′ N. (near Sand Hill Bluff, approximately 9 miles north of Santa Cruz Harbor Entrance), except for one area between Santa Rosa Island and Santa Cruz Island (Channel Islands) with the following coordinates:
34° 7.75’ N lat. 120° 0.00’ W long.;
34° 7.75’ N lat. 119° 50.00’ W long.;
33° 53.00’ N lat. 119° 50.00’ W long.;
33° 53.00’ N lat. 120° 0.00’ W long.; and
34° 7.75’ N lat. 120° 0.00’ W long.  ",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-023.aspx,
2016,CDFW,27-Apr-16,Razor clams (whole),Recreational,close,Domoic acid,closure,Humboldt and Del Norte counties,40.00126,42,https://cdfgnews.wordpress.com/2016/04/27/commission-closes-recreational-razor-clam-fishery-in-humboldt-and-del-norte-counties/,
2016,16-024,1-May-16,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast ,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-024.aspx,
2016,16-026,2-May-16,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Redwood Creek, Humboldt County (41° 17.60' N) north to CA/OR border - state waters",41.29333333,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-026.aspx,
2016,16-028,19-May-16,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,California coast ,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-028.aspx,"The final advisory lifted today was for Dungeness crabs caught in ocean waters north of 40°46.15′ N Latitude (a line extending due west from the west end of the north jetty at the entrance of Humboldt Bay) and south of 41° 17.60' N Latitude (a line extending due west from the mouth of Redwood Creek, Humboldt County).

"
2016,16-034,3-Jun-16,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,"Santa Cruz, Santa Rosa, and San Miguel Islands (Santa Barbara county)",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR16-034.aspx,
