Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),base on assumption,Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"December 8, 2004",ODFW,2004,12-01-2004,Dungeness Crab,commercial,close,,body condition,closure,Cape Falcon to OR-WA border,45.46,46.15,PSMFC,http://www.psmfc.org/crab/2004CrabRevisedOpenerNotice12804.pdf,
"November 8, 2004",WDFW,2004,12-01-2004,Dungeness Crab,commercial,close,,body condition,closure,OR-WA border to WA-Canada border,46.15,48.48,PSMFC,http://www.psmfc.org/crab/120804DelayedOpeningDate.pdf,
"December 21, 2004",ODFW,2005,01-15-2005,Dungeness Crab,commercial,open,,body condition,closure,Cape Falcon to OR-WA border,45.46,46.15,PSMFC,http://www.psmfc.org/crab/CrabThirdOpenerNotice122104.pdf,
"October 1, 2008",WDFW,2005,01-15-2005,Dungeness Crab,commercial,open,,body condition,closure,OR-WA border to WA-Canada border,46.15,48.48,PSMFC,https://www.psmfc.org/crab/2008-2009%20files/WA_buyback_09.pdf,"Retrived from Buy-back program document, Table1"
"November 22, 2005",WDFW,2005,12-01-2005,Dungeness Crab,commercial,close,,body condition,closure,Point Arena CA to WA-Canada border,38.908,48.48,PSMFC,http://www.psmfc.org/crab/2005-2006%20files/WA_Notice%20to%20Fishers%20Processors%20Nov%20Test%20Results.pdf,
"December 9, 2005",ODFW,2005,12-31-2005,Dungeness Crab,commercial,open,,body condition,closure,"Point Arenas, Point Arenas CA to Destruction Island WA",38.908,47.405,PSMFC,http://www.psmfc.org/crab/2005-2006%20files/Notice%20to%20Fishers%20and%20Processors%20opening%20info.pdf,
"December 9, 2005",WDFW,2006,12-31-2005,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to Sand Point,47.405,48.07,PSMFC,http://www.psmfc.org/crab/2005-2006%20files/Notice%20to%20Fishers%20and%20Processors%20opening%20info.pdf,
"December 9, 2005",WDFW,2006,01-15-2006,Dungeness Crab,commercial,open,yes,head-start,closure,Destruction Island to Sand Point,47.405,48.07,PSMFC,http://www.psmfc.org/crab/2005-2006%20files/Notice%20to%20Fishers%20and%20Processors%20opening%20info.pdf,
"November 22, 2006",ODFW,2006,12-01-2006,Dungeness Crab,commercial,open,,body condition,closure,OR,41.9981226,46.15,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/2006-07%20season%20mailing%2011%2022%2006%20FINAL.pdf,
"November 22, 2006",WDFW,2006,12-01-2006,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,
"November 22, 2006",WDFW,2006,12-01-2006,Dungeness Crab,commercial,close,,head-start,closure,Kalipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,
"November 22, 2006",WDFW,2006,01-05-2007,Dungeness Crab,commercial,open,yes,head-start,closure,Kalipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,Date based on news release from the following season: http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf                                                                                                               
"November 22, 2006",WDFW,2006,12-01-2006,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to Sand Point,47.405,48.07,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,This area has a SMA that is closed to state fishers
"November 22, 2006",WDFW,2006,12-01-2006,Dungeness Crab,commercial,close,,head-start,closure,Sands Point to US-Canada border,48.07,48.48,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,
"November 22, 2006",WDFW,2006,01-16-2007,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to Sand Point,47.405,48.07,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,This area has a SMA that is closed to state fishers
"November 22, 2006",WDFW,2006,01-05-2007,Dungeness Crab,commercial,open,yes,head-start,closure,Sands Point to US-Canada border,48.07,48.48,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,
"November 22, 2006",WDFW,2006,01-06-2007,Dungeness Crab,commercial,open,yes,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2006-2007%20files/WA%20Nov%2022%202006%20ltr.pdf,Assuming that gear reduction is removed once the area north of Klipsan beach is open
"November 14, 2007",CDFG,2007,11-14-2007,Dungeness Crab,commercial/recreational,close,,oil spill,closure,San Pedro Point to Point Reyes Lighthouse,37.6,38,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/DFG%20Defines%20San%20Francisco%20Bay%20Fishing%20Closure%20Zones.pdf,"San Francisco Bay, west of the Carquinez Bridge WHEN DID IT OPEN??"
"November 14, 2007",CDFG,2007,12-1-2007,Dungeness Crab,commercial/recreational,open,yes,oil spill,closure,San Pedro Point to Point Reyes Lighthouse,37.6,38,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/DFG%20Defines%20San%20Francisco%20Bay%20Fishing%20Closure%20Zones.pdf,Scheduled to open Dec 1st or some other time
"November 21, 2007",WDFW,2007,12-01-2007,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/WA%20Letter%20to%20Fishers%20Nov%2021%202007.pdf,
"December 20, 2007",WDFW,2007,12-30-2007,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2007,12-1-2007,Dungeness Crab,commercial,close,,head-start,closure,Kalipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"November 26, 2007",CDFW,2007,12-01-2007,Dungeness Crab,commercial,open,,body condition,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/CA%20Pre-Soak2007.pdf,
"December 20, 2007",WDFW,2007,1-2-2008,Dungeness Crab,commercial,open,,head-start,closure,Kalipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2007,12-1-2007,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf,
"December 20, 2007",WDFW,2008,1-15-2008,Dungeness Crab,commercial,open,yes,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2007-2008%20files/Ltr%20to%20Fishers_12_20_07.pdf, Different date presented in table 1 of buyback report:  https://www.psmfc.org/crab/2008-2009%20files/WA_buyback_09.pdf       
