"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Salmon",1096856,2030084
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Market crab",753391,4604352
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Albacore tuna",508607,2748600
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Giant Pacific oyster",105704,454641
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Dover sole",54175,816861
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Sablefish",46991,447075
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","English sole",23308,261428
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Petrale sole",21761,176582
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Ocean shrimp",19249,166285
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Rex sole",17119,199915
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Rockfish",16791,311821
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Perch",5476,31273
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","All other species",10775,155178
"FB 144","Table 16",1967,"Eureka","Eureka","Landings","Port totals",2680203,12404095
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Salmon",802494,1514794
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Albacore tuna",385017,2080701
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Sablefish",136932,1302788
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Market crab",84691,517587
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Dover sole",80054,1207065
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Petrale sole",65420,530848
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Rockfish",63485,1104461
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","English sole",59199,663991
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Rex sole",31949,373097
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Lingcod",20864,268501
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Miscellaneous (animal food)",10994,551477
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Whitebait smelt",5203,55632
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","All other species",9090,122285
"FB 144","Table 16",1967,"Eureka","Fort Bragg","Landings","Port totals",1755392,10293227
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Market crab",778541,4758052
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Salmon",661790,1282953
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Ocean shrimp",144126,1245065
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","English sole",76014,852595
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Rockfish",17032,306451
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Sablefish",15212,144726
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Petrale sole",14900,120908
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Rex sole",9098,106247
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Flounder",9093,180296
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Lingcod",6921,89067
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","All other species",17898,180093
"FB 144","Table 16",1967,"Eureka","Crescent City","Landings","Port totals",1750625,9266453
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Dover sole",247032,3724780
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","English sole",115536,1295878
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Petrale sole",92291,748888
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Market crab",69176,422771
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Rex sole",42948,501553
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Sablefish",42672,405988
"FB 144","Table 16",1967,"Eureka","Fields Landing","Landings","Rockfish",37882,702808
