"source","table","year","type","port_complex","category","species","landings_lb","landings_kg","value_usd"
"FB 173","Table 4",1977,"Landings","Eureka","Crustaceans","Crab, Dungeness",33325545,15116214.8706159,15553166
"FB 173","Table 4",1977,"Landings","Eureka","Crustaceans","Crab, rock",565,256.279721813941,NA
"FB 173","Table 4",1977,"Landings","Eureka","Crustaceans","Shrimp, Pacific ocean",13863465,6288362.74969435,3143369
"FB 173","Table 4",1977,"Landings","Eureka","Echinoderms","Sea urchin",355520,161261.179998748,35545
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Butterfish, Pacific",100,45.3592427989276,7
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Cabezon",377,171.004345351957,76
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Fish, miscellaneous",1896,860.011243467668,96
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Flounder, arrowtooth",222300,100833.596742016,17417
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Flounder, miscellaneous",416118,188747.973950042,62879
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Grenadier",98622,44734.1924331584,6373
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Hake, Pacific",80936,36711.9567517401,4064
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Halibut, California",293,132.902581400858,496
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Herring, Pacific",45281,20539.1187317824,8550
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Lingcod",849538,385344.004089154,151698
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Mackerel",4778,2167.26462093276,288
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Rockfish",7017253,3182972.82608503,1106676
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Sablefish",4471835,2028390.49521743,616419
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Salmon",3380522,1533379.18185116,6625702
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Sanddab, Pacific",379447,172114.286023247,92376
"FB 173","Table 4",1977,"Landings","Eureka","Fish","Shark, miscellaneous",1250,566.990534986595,220
