"FdLgthConversionEqID","LkupSpeciesID","FdLgthCoversionEq"
"1","17","FL= -2.52 + 0.943TL (r^2= 0.996 SE= 3.99)"
"2","17","FL= 4.88 + 1.14SL (r^2= 0.998 SE= 2.01)"
"3","17","SL= -2.03 + 0.805TL (r^2= 0.998 SE= 1.91)"
"4","17","SL= -4.00 + 0.877FL (r^2= 0.998 SE= 1.77)"
"5","17","TL= 2.93 + 1.24SL (r^2= 0.998 SE= 2.37)"
"6","17","TL= -3.62 + 1.06FL (r^2= 0.996 SE= 4.23)"
"7","17","TL= 1.2054SL + 15.01 (for sizes 180 to 350 mm)"
"8","17","TL= 1.2906SL + 0.0312 (for sizes 42 to 178 mm)"
"9","19","FL= 4.77 + 0.887TL (r^2= 0.994 SE= 2.91)"
"10","19","FL= 6.36 + 1.133SL (r^2= 0.996 SE= 2.28)"
"11","19","SL= -0.42 + 0.778TL (r^2= 0.996 SE= 2.17)"
"12","19","SL= -5.14 + 0.88FL (r^2= 0.996 SE= 2.01)"
"13","19","TL= 1.23 + 1.28SL (r^2= 0.996 SE= 2.79)"
"14","19","TL= -4.12 + 1.12FL (r^2= 0.994 SE= 3.27)"
"15","21","FL= 0.95TL - 5.09 (r^2=0.998)"
"16","21","SL= 0.81TL - 5.29 (r^2=0.998)"
"17","21","FL= 0.828 + 0.852SL (r^2= 0.998 SE= 1.74)"
"18","21","FL= -2.47 + 0.941TL (r^2= 0.998 SE= 2.93)"
"19","21","SL= 0.308 + 0.791TL (r^2= 0.996 SE= 3.14)"
"20","21","SL= -0.77 + 1.172FL (r^2= 0.998 SE= 2.04)"
"21","21","TL= 0.321 + 1.26SL (r^2= 0.996 SE= 3.97)"
"22","21","TL= 2.88 + 1.06FL (r^2= 0.998 SE= 3.12)"
"23","3","FL=0.399 x TL (0.914); SE:1.164"
"24","3","SL=-6.217 x TL (0.863); SE:1.491"
"25","3","TL=-0.228 x FL (1.092); SE:1.272"
"26","3","TL=7.565 x SL (1.156); SE:1.725"
"27","2","FL=-1.509 x TL (0.925); SE:5.057"
"28","2","SL=-1.167 x TL (0.832); SE:2.366"
"29","2","TL=1.646 x SL (1.200); SE:2.841"
"30","2","TL=2.645 x FL (1.076); SE:5.453"
"31","7","SL=TL x 0.8421"
"32","7","TL=SL x 1.1878"
"33","8","SL=TL x 0.8412"
"34","8","TL=SL x 1.2120"
"35","23","SL= -0.34 + 0.92FL (r^2= 0.94)"
"36","23","TL= 0.54 + 1.05FL (r^2= 0.92)"
"37","23","TL= 1.26SL + 1.73 (r^2= 1.0)"
"38","23","FL= -3.74 + 0.939TL (r^2= 0.996 SE= 2.45)"
"39","23","FL= 6.92 + 1.05SL (r^2= 0.96 SE= 2.46)"
"40","23","SL= -1.35 + 0.785TL (r^2= 0.958 SE= 2.47)"
"41","23","SL= -3.93 + 0.914FL (r^2= 0.96 SE= 2.29)"
"42","23","TL= 4.4 + 1.06FL (r^2= 0.996 SE= 2.61)"
"43","23","TL= 5.27 + 1.22SL (r^2= 0.958 SE= 3.08)"
"44","23","TL= 1.245SL + 1.771"
"45","23","SL= 0.7579TL (sizes < 99 mm)"
"46","23","SL= 0.7615TL"
"47","23","SL= 0.7671TL (sizes > 100 mm)"
"48","23","TL= 1.3036SL (sizes > 100 mm)"
"49","23","TL= 1.3133SL"
"50","23","TL= 1.3194SL (sizes < 99 mm)"
"51","20","FL= 0.008 + 0.871TL (r^2= 0.992 SE= 6.42)"
"52","20","FL= 7.4 + 1.1SL (r^2= 0.998 SE= 2.95)"
"53","20","SL= -3.24 + 0.774TL (r^2= 0.998 SE= 3.57)"
"54","20","SL= -6.43 + 0.905FL (r^2= 0.998 SE= 2.67)"
"55","20","TL= 2.31 + 1.14FL (r^2= 0.992 SE= 7.35)"
"56","20","TL= 4.82 + 1.29SL (r^2= 0.998 SE= 4.6)"
"57","20","SL= 0.75TL -1.51"
"58","18","FL= 0.317 + 0.916TL (r^2= 0.996 SE= 3.7)"
"59","18","FL= 6.58 + 1.13SL (r^2= 1.0 SE= 1.64)"
"60","18","SL= -4.07 + 0.799TL (r^2= 1.0 SE= 1.59)"
"61","18","SL= -5.7 + 0.882FL (r^2= 1.0 SE= 1.45)"
"62","18","TL= 0.456 + 1.09FL (r^2= 0.996 SE= 4.03)"
