"FdSexParameterID","FdGrowthParameterID","VLSexType","FdLinf","FdLinfSE","FdK","FdKSE","FdTzero","FdTzeroSE","FdParameterRsquared"
"1","263","Male","536","","","0.457","","",""
"2","263","Female","679","","","0.23","","",""
"4","264","Male","690.25","","","0.241","","-1.23",""
"5","264","Female","740.87","","","0.354","","0.84",""
"10","266","Male","1062","","","0.079","","-8.06",""
"11","266","Female","1171","","","0.149","","-2.15",""
"13","267","Male","1436","","","0.042","","-10.77",""
"14","267","Female","1096","","","0.192","","-1.94",""
"18","268","Both","398.64","","","0.881","","0.92",""
"21","269","Both","1149.99","","","0.128","","-2.11",""
"25","271","Male","762.51","","","0.224","","",""
"26","271","Female","1279.04","","","0.091","","",""
"28","272","Male","917.48","","","0.17","","",""
"29","272","Female","1289.77","","","0.11","","",""
"31","273","Male","853","","","0.19","","-0.95",""
"32","273","Female","1266","","","0.11","","-0.79",""
"46","278","Male","420","","2.186","0.25","0.007","-0.49","0.074"
"47","278","Female","470","","3.237","0.22","0.007","-0.08","0.09"
"48","278","Both","460","","1.501","0.21","0.002","-0.42","0.0063"
"52","280","Male","604","","","0.83","","",""
"53","280","Female","760","","","0.91","","",""
"55","281","Male","395","","","0.288","","-1.4",""
"56","281","Female","430","","","0.201","","-2.5",""
"58","282","Male","166.2","","14.838","0.045","0.012","-4.84","0.6241"
"59","282","Female","146.04","","2.438","0.09","0.003","-1.61","0.1095"
"61","283","Male","93.21","","5.35","0.169","0.028","",""
"62","283","Female","131.05","","3.84","0.114","0.009","",""
"66","284","Both","741","","","","","",""
"68","285","Female","1256","","","0.089","","-2.43",""
"70","286","Male","816","","","0.205","","-1.63",""
"71","286","Female","1319","","","0.097","","-2.1",""
"88","292","Male","91","","","0.26","","-0.6",""
"89","292","Female","115","","","0.16","","-1.4",""
"115","301","Male","770","","39","2.5","0.5","-11.9","3.5"
"116","301","Female","1040","","40","1.8","0.3","-11.1","2.3"
"118","302","Male","861","","21","2.7","0.3","-8","3.7"
"119","302","Female","1128","","41","1.8","0.2","-9","3.4"
"130","306","Male","42","","","0.12","","-1",""
"131","306","Female","44","","","0.1","","-1.4",""
"132","306","Both","43","","","0.11","","-1.2",""
"133","307","Male","54","","","0.12","","-0.9",""
"134","307","Female","60","","","0.09","","-1.3",""
"135","307","Both","55","","","0.12","","-0.9",""
"136","308","Male","69","","","0.09","","2.5",""
"137","308","Female","71","","","0.08","","-7",""
"138","308","Both","69","","","0.09","","3.1",""
"144","312","Both","57.82","","","0.024","","-7.75",""
"145","313","Male","47.5","49.1","","","","",""
"146","313","Female","51.3","53.4","","","","",""
