"FdInteractionID","LkupSpeciesID","LkupInteractionType"
"1","17","297"
"2","17","309"
"3","17","246"
"4","19","306"
"5","21","291"
"6","21","243"
"7","1","303"
"8","1","336"
"9","32","157"
"10","32","161"
"11","32","177"
"12","3","3"
"13","3","26"
"14","3","38"
"15","3","120"
"16","3","143"
"17","3","175"
"18","3","338"
"19","3","339"
"20","2","52"
"21","2","156"
"22","2","166"
"23","72","83"
"24","72","96"
"25","72","314"
"26","43","185"
"27","114","121"
"28","114","122"
"29","106","168"
"30","63","19"
"31","63","20"
"32","63","45"
"33","63","59"
"34","63","251"
"35","63","105"
"36","63","112"
"37","63","335"
"38","7","37"
"39","7","144"
"40","7","191"
"41","8","18"
"42","8","144"
"43","8","186"
"44","23","281"
"46","23","309"
"47","23","108"
"48","23","167"
"49","20","21"
"50","20","58"
"51","20","64"
"52","20","253"
"53","20","309"
"54","20","105"
"55","20","115"
"56","20","239"
"57","20","248"
"58","20","318"
"59","20","327"
"60","18","21"
"61","18","58"
"62","18","66"
"63","18","263"
"64","18","105"
"65","18","239"
"66","18","249"
"67","18","319"
"68","24","28"
"69","24","254"
"70","24","116"
"71","24","250"
"72","24","326"
"73","57","119"
"74","124","194"
"75","75","57"
"76","75","289"
"77","75","84"
"78","75","240"
"79","75","310"
"80","75","332"
"81","29","9"
"82","29","172"
"83","27","2"
"84","27","21"
"85","27","68"
"86","27","78"
"87","27","274"
"88","27","86"
"89","27","93"
"90","27","95"
"91","27","98"
"92","27","106"
"93","27","329"
"94","45","25"
"95","45","55"
"96","45","285"
"97","42","267"
"98","42","105"
"99","42","117"
"100","13","147"
"101","13","200"
"102","13","208"
"103","39","322"
"104","33","189"
"105","11","56"
"106","11","99"
"107","11","189"
"108","35","129"
"109","35","131"
"110","35","132"
"111","35","199"
"112","36","139"
"113","36","148"
"114","36","176"
"115","36","207"
"116","38","198"
"117","38","221"
"118","10","223"
"119","10","320"
"120","10","341"
"121","25","22"
"122","25","255"
"123","25","309"
"124","25","243"
"125","25","245"
"126","125","287"
"127","125","243"
"128","50","192"
"129","50","342"
"130","54","144"
"131","126","296"
"132","126","105"
"133","126","244"
"134","126","316"
"135","64","5"
"136","64","33"
"137","64","44"
"138","64","262"
"139","64","88"
"140","64","344"
"141","58","182"
"142","58","212"
"143","58","214"
"144","58","229"
"145","14","125"
"146","14","126"
"147","14","128"
"148","14","138"
"149","14","140"
"150","14","141"
"151","14","151"
"152","14","152"
"153","14","155"
"154","14","158"
"155","14","159"
"156","14","164"
"157","14","179"
"158","14","206"
"159","14","215"
"160","14","220"
"161","4","40"
"162","4","156"
"163","4","171"
"164","4","213"
"165","4","339"
"166","60","194"
"167","28","201"
"168","28","315"
"169","30","201"
"170","105","48"
"171","105","73"
"172","105","275"
"173","105","92"
"174","105","105"
"175","105","328"
"176","73","301"
"177","44","91"
"178","44","127"
"179","44","143"
"180","44","187"
"181","122","196"
"182","46","343"
"184","37","190"
"185","37","233"
"186","34","130"
"187","34","133"
"188","34","134"
"189","34","135"
"190","34","136"
"191","34","137"
"192","34","145"
"193","34","146"
"194","34","150"
"195","34","153"
"196","34","165"
"197","34","173"
"198","34","202"
"199","34","205"
"200","34","216"
"201","34","218"
"202","34","219"
"203","34","334"
"204","40","27"
"205","40","65"
"206","40","268"
"207","40","105"
"208","40","111"
"209","109","22"
"210","109","60"
"211","109","259"
"212","109","84"
"213","109","105"
"214","109","123"
"215","109","321"
"216","110","260"
"217","110","113"
"218","107","51"
"219","107","61"
"220","107","258"
"221","107","84"
"222","107","105"
"223","6","4"
"224","6","41"
"225","6","43"
"226","6","100"
"227","6","144"
"228","6","174"
"229","55","181"
"230","55","210"
"231","55","228"
"232","55","235"
"233","116","337"
"234","26","309"
"235","26","104"
"236","26","237"
"237","26","239"
"238","26","250"
"239","26","317"
"240","26","332"
"241","62","53"
"242","62","54"
"243","62","144"
"244","62","180"
"245","62","204"
"246","62","217"
"247","62","232"
"248","62","234"
"249","51","227"
"250","52","183"
"251","52","231"
"252","53","144"
"253","53","185"
"254","56","144"
"255","56","177"
"256","5","36"
"257","5","90"
"258","5","103"
"259","5","188"
"260","5","211"
"261","5","311"
"262","5","312"
"263","5","313"
"264","59","144"
"265","59","196"
"266","59","340"
"267","65","230"
"268","65","236"
"269","66","222"
"270","69","225"
"271","22","24"
"272","22","67"
"273","22","81"
"274","22","114"
"275","22","250"
"276","70","197"
"277","74","82"
"278","97","256"
"279","97","83"
"280","12","124"
"281","12","131"
"282","12","149"
"283","12","154"
"284","12","169"
"285","90","31"
"286","90","34"
"287","90","69"
"288","90","270"
"289","90","83"
"290","80","277"
"291","80","83"
"292","80","241"
"293","80","242"
"294","85","8"
"295","85","30"
"296","85","272"
"297","83","15"
"298","83","282"
"300","83","85"
"301","83","109"
"302","87","75"
"303","87","264"
"304","87","84"
"305","78","7"
"306","78","290"
"307","99","69"
"308","99","76"
"309","99","286"
"310","99","83"
"311","81","308"
"312","81","241"
"313","88","16"
"314","88","32"
"315","88","74"
"316","88","299"
"317","88","295"
"318","128","75"
"319","128","283"
"320","98","307"
"321","93","12"
"322","93","298"
"323","93","294"
"324","93","110"
"325","77","276"
"326","77","238"
"327","77","247"
"328","77","325"
"329","103","70"
"330","103","84"
"331","103","241"
"332","79","23"
"333","79","63"
"334","79","261"
"335","79","309"
"336","79","323"
"337","82","83"
"338","101","14"
"339","101","302"
"340","101","331"
"341","96","83"
"342","129","265"
"344","129","101"
"345","129","238"
"346","130","280"
"348","86","288"
"349","86","84"
"350","94","77"
"351","94","79"
"352","127","13"
"353","127","83"
"354","104","14"
"355","104","80"
"357","104","330"
"358","84","271"
"359","100","11"
"360","100","304"
"361","89","241"
"362","92","17"
"363","92","29"
"364","92","34"
"365","92","62"
"366","92","257"
"367","92","84"
"368","92","324"
"369","102","72"
"370","102","273"
"371","102","83"
"372","95","87"
"373","91","87"
"374","41","42"
"375","41","50"
"376","41","71"
"377","41","269"
"378","9","21"
"379","9","35"
"380","9","279"
"381","9","105"
"382","9","107"
"383","9","333"
"384","71","10"
"385","71","83"
"386","111","89"
"387","48","46"
"388","48","168"
"389","112","47"
"390","112","184"
"391","113","195"
"392","108","21"
"393","108","278"
"394","15","144"
"395","117","39"
"396","117","193"
"397","47","209"
"398","120","226"
"399","123","118"
"400","123","170"
"401","76","300"
"402","16","49"
"403","16","224"
"404","31","94"
"405","31","97"
"406","31","142"
"407","31","160"
"408","31","162"
"409","31","163"
"410","31","203"
"411","115","305"
"412","115","102"
"414","4","345"
"415","4","346"
"416","3","347"
"417","5","348"
"418","14","350"
"419","12","352"
"420","12","353"
"421","121","354"
"422","65","355"
"423","10","356"
"424","23","357"
"425","18","309"
"427","26","358"
"428","6","359"
"430","8","360"
"431","55","361"
"432","54","186"
"433","28","177"
"434","41","84"
"435","44","362"
"436","47","168"
"437","63","363"
"439","72","364"
"440","75","321"
"441","75","365"
"442","75","366"
"443","71","367"
"444","97","240"
"445","97","368"
"447","85","369"
"448","103","370"
"449","79","34"
"450","82","371"
"451","104","109"
"452","84","83"
"453","92","21"
"454","110","105"
"455","111","372"
"456","114","373"
