"FdLarvalDurationID","LkupSpeciesID","FdLarvalDuration"
"45","17","None"
"46","19","None"
"47","21","None"
"48","1","2 months"
"49","3","> 18 days"
"50","2",">24 days"
"51","72","35 days"
"52","43","few months ?"
"53","106","NA"
"54","7","> 271 days"
"55","8",">324 days"
"56","23","None"
"57","20","None"
"58","18","None"
"59","24","None"
"60","57","6 months (including egg stage)"
"61","124","NA"
"62","75","3 months"
"63","42","29.9 ± 3.6 days"
"64","33","NA"
"65","11","approx. 8 week"
"66","11","2 weeks"
"67","35","1 yr (pelagic)"
"68","38","NA"
"69","10","NA"
"70","25","None"
"71","125","None"
"72","54","5-6 weeks"
"73","126","None"
"74","58","25-50 days"
"75","4","40 days"
"76","4","30-40 days"
"77","28","2+months"
"78","28","2-3 months"
"79","28","60 days"
"80","30","2-5 months"
"81","30","60 days"
"82","44","approx. 3-4 weeks"
"83","122","NA"
"84","121","NA"
"85","46","NA"
"86","37","NA"
"87","34","yolk sac absorbed in 10 days"
"88","34","1-2 months (Strait of Georgia, March-May); in May, pelagic post-larvae move inshore and become demersal after a few weeks"
"89","40","39.4 ± 2.6 days"
"90","109","1 month"
"91","109","28 ± 3 days"
"92","109","30 ± 2.7 days"
"93","110","25 to 31 days"
"94","110","21 ± 3 days"
"95","107","26 ± 2 days"
"96","6","approx. 20-29 days"
"97","6","5-6 weeks"
"98","55","4 months"
"99","55","6-10 weeks"
"100","55","8-10 weeks"
"101","55","2-2.5 months"
"102","55","2 months"
"103","26","None"
"104","62","37-75 days"
"105","62","1.5 months"
"106","62","25-30 days"
"107","51","NA"
"108","5","4-5 weeks larvae break away from disc and swim free of the nest"
"109","59","60-68 days"
"110","65","NA"
"111","66","NA"
"112","68","NA"
"113","67","NA"
"114","22","None"
"115","70","NA"
"116","97","approx. 1 to 2 months"
"117","12","3-4 months"
"118","12","Nov - Mar"
"119","90","approx. 1 to 2 months"
"120","90","50 to 75 days"
"121","80","approx. 1 to 2 months"
"122","80","80 to 90 days; 91.5 days"
"123","85","approx. 1 to 2 months"
"124","85","60 to 90 days"
"125","83","approx. 1 to 2 months"
"126","87","approx. 1 to 2 months"
"127","78","approx. 1 to 2 months"
"128","99","approx. 1 to 2 months"
"129","81","approx. 1 to 2 months"
"130","88","approx. 1 to 2 months"
"131","128","approx. 1 to 2 months"
"132","98","approx. 1 to 2 months"
"133","98","< 115 days"
"134","93","approx. 1 to 2 months"
"135","77","approx. 1 to 2 months"
"136","77","120 to 180 days; likely 110 days"
"137","103","approx. 1 to 2 months"
"138","79","approx. 1 to 2 months"
"139","79","80 to 130 days"
"140","79","129 days"
"141","82","approx. 1 to 2 months"
"142","101","approx. 1 to 2 months"
"143","96","approx. 1 to 2 months"
"144","129","approx. 1 to 2 months"
"145","129","< 116 days"
"146","130","approx. 1 to 2 months"
"147","86","approx. 1 to 2 months"
"148","94","approx. 1 to 2 months"
"149","127","approx. 1 to 2 months"
"150","104","approx. 1 to 2 months"
"151","84","approx. 1 to 2 months"
"152","100","approx. 1 to 2 months"
"153","100","118 days"
"154","89","approx. 1 to 2 months"
"155","92","approx. 1 to 2 months"
"156","102","approx. 1 to 2 months"
"157","95","approx. 1 to 2 months"
"158","91","approx. 1 to 2 months"
"159","41","37.4 ± 5.1 days"
"160","41","66.5 days"
"161","41","60 (37 to 78) days"
"162","71","3 months"
"163","48","metamorphosis to juvenile 30-60 days, depending on temperature"
"164","112","NA"
"165","113","NA"
"166","15","approx. 2 months"
"167","120","NA"
"168","123","NA"
"169","16","NA"
"170","9","12 yrs."
