"FdMortalityID","LkupSpeciesID","FdNaturalM","FdFishingM","FdTotalM","LkupMortalityEstMethod","FdMortalityAgeRng","FdExploitationRate","FdExpoitationRatio"
"153","21","0.013","","0.013","31","embryos","",""
"154","72","0.303","0.259","0.562","49","3 to 15","0.33","0.461"
"155","72","0.303","0.518","0.821","49","4 to 15","0.19","0.631"
"156","72","0.303","0.589","0.892","49","5 to 15","","0.66"
"157","8","99.8-99.9 % (egg and larval period)  ","","","30","egg and larval stages","",""
"158","20","0.0387","0","0.0387","31","eggs","",""
"159","18","0.288","","","","eggs","",""
"160","57","males:0.25 males","0.45 males","0.70 males","29","8-14 years","",""
"161","57","females:0.20 ","0.25 females","0.45 females","27","","",""
"162","35","","","0.3386 (Sexes combined)","13","5-14 yr","",""
"163","54","","","2.65","34","all year classes","",""
"164","126","0.117","0","0.117","32","","",""
"165","58","female: 0.26 ","0.21","","28","6-8 yrs","0.102",""
"166","58","male: 0.53 ","","","","","",""
"167","44","0.5","0.29","0.79","48","","","0.367"
"168","44","0.58","0.003","0.583","43","","","0.000537"
"169","44","0.33","0.2","0.53","48","","","0.377"
"170","44","","","0.79","44","","",""
"171","44","","","0.995","48","","",""
"172","44","0.29","0.5","0.79","","","","0.633"
"173","34","0.20","0.20","0.40","51","6-7 yr","",""
"174","34"," Female: 0.18","","","16","see Jagielo 1994","",""
"175","34"," Male: 0.32","","","16","see Jagielo 1994","",""
"176","34"," 0.20-0.80","","","53","see Jagielo 1994","",""
"177","34"," 0.25","","","33","see Jagielo 1994","",""
"178","34"," 0.28","","","11","","",""
"179","34"," 0.36-0.80","","","50","","0.119 - 0.305",""
"180","34"," Female: 0.16-0.19 (avg 0.18)","","","10","","",""
"181","34"," Male: 0.23-0.39 (avg 0.32)","","","10","","",""
"182","34"," 0.26 (0.2 - 0.4)","","","23","","0.03 - 0.21 (3 areas)",""
"183","34","0.24-0.44 (Female)","0.05-0.33 (Female)","0.29-0.77 (Female)","45","none","",""
"184","34","0.42-0.64 (Male)","0.30-0.61 (Male)","0.72-1.25 (Male)","45","none","",""
"185","34","","","0.12-0.42","19","none","",""
"186","34","0.724","0.898 (year 2: 1961-1962)","1.622 (year 2: 1961-1962)","56","none","",""
"187","34","0.724","1.450 (year 1: 1960-1961)","2.174 (year 1: 1960-1961)","56","none","0.483 (year 1960)",""
"188","34","0.18 (Female)","0.182 (Female, Sport, 1992)","","50","NG (see Jagielo 1994)","",""
"189","34","0.18 (Female)","0.196 (Female, Sport, 1991)","","50","NG (see Jagielo 1994)","",""
"190","34","0.18 (Female)","0.356 (Female, Sport, 1993)","","50","NG (see Jagielo 1994)","",""
"191","34","0.18 (Female)","0.385 (Female, Trawl, 1994)","","50","NG (see Jagielo 1994)","",""
"192","34","0.18 (Female)","0.510 (Female, Sport, 1994)","","50","NG (see Jagielo 1994)","",""
"193","34","0.18 (Female)","0.697 (Female, Trawl, 1993)","","50","NG (see Jagielo 1994)","",""
"194","34","0.18 (Female)","0.740 (Female, Trawl, 1992)","","50","NG (see Jagielo 1994)","",""
"195","34","0.18 (Female)","1.025 (Female, Trawl, 1991)","","50","NG (see Jagielo 1994)","",""
"196","34","0.32 (Male)","0.255 (Male, Sport, 1991)","","50","NG (see Jagielo 1994)","",""
"197","34","0.32 (Male)","0.283 (Male, Trawl, 1994)","","50","NG (see Jagielo 1994)","",""
"198","34","0.32 (Male)","0.312 (Male, Sport, 1992)","","50","NG (see Jagielo 1994)","",""
"199","34","0.32 (Male)","0.372 (Male, Sport, 1993)","","50","NG (see Jagielo 1994)","",""
"200","34","0.32 (Male)","0.589 (Male, Trawl, 1992)","","50","NG (see Jagielo 1994)","",""
"201","34","0.32 (Male)","0.603 (Male, Trawl, 1991)","","50","NG (see Jagielo 1994)","",""
"202","34","0.32 (Male)","0.617 (Male, Trawl, 1993)","","50","NG (see Jagielo 1994)","",""
"203","34","0.32 (Male)","0.848 (Male, Sport, 1994)","","50","NG (see Jagielo 1994)","",""
"204","34","0.77 (calc from annual survival)","0.32 (calc from fishing survival)","1.11 (calc from overall survival)","18","6-12 yr","0.33 (1984, B.C. Canada) 0.52 (1985, B.C. Canada)",""
"205","34","0.26 (Sexes combined)","0.09 (Sexes combined)","0.35 (Sexes combined)","54","none","0.08 (sexes combined)",""
"206","34","","","0.11 (Female)","24","4-10 yr","",""
"207","34","","","0.35 (Sexes combined)","24","4-10 yr","",""
"208","34","","","0.47 (Male)","24","4-10 yr","",""
"209","34","0.3060","0.0939","0.3999","57","0-20 yr","0.0774","0.2348"
"210","34","","","0.3999 (Sexes combined)","14","0-20 yr","",""
"211","34","0.56","sport: 0.075-0.128 (mean 0.099)","0.208-1.091 (mean 0.663)","55","none","0.048-0.089 (mean 0.075)",""
"212","109","0.287","","","20","7 to 13","",""
"213","109","","","0.544","20","3 to 12","",""
"214","6","(for fish 31-70 mm or 70-115 days)","","mean: 0.0124 (SD=0.001) (juveniles< 70 and older)","","","",""
"215","6","0.3 to 0.15 ","","","58","","",""
"216","6","","","Females:approx. 0.30-0.48","42","","",""
"217","6","mean:0.0124 per day SD=0.001  ","","instantaneous mortality:0.044 (youngest juveniles),","","","",""
"218","6","","","bay model: 0.043 to 0.037 (juveniles)","","","",""
"219","6","","","Males: approx. 0.21","","","",""
"220","6","","","total mortality model: 0.011 to 0.014 (juveniles)","","","",""
"222","55","0.266-0.357 (females ages 8-10) - Carr Inlet pop","","","17","0+ english sole","",""
"223","55","0.329 (males 3-5) - Golden Gardens pop","","","17","0+ english sole","",""
"224","55","0.357(females 3-5) - Golden Gardens pop","","","17","0+ english sole","",""
