"FdParentalCareID","LkupSpeciesID","LkupParentalCare"
"1","1","3"
"2","1","23"
"3","3","20"
"4","2","20"
"5","43","20"
"6","114","18"
"7","106","20"
"8","63","13"
"9","7","20"
"10","8","20"
"11","57","20"
"12","124","20"
"13","29","6"
"14","29","4"
"15","13","3"
"16","33","20"
"17","11","16"
"18","35","5"
"19","35","10"
"20","35","11"
"21","36","16"
"22","38","20"
"23","10","20"
"24","50","20"
"25","54","20"
"26","64","12"
"27","64","19"
"28","58","20"
"29","4","20"
"30","60","20"
"31","28","7"
"32","28","9"
"33","30","16"
"34","44","20"
"35","122","20"
"36","121","20"
"37","46","20"
"38","37","20"
"39","34","25"
"40","34","16"
"41","34","22"
"42","6","20"
"43","55","20"
"44","116","20"
"45","62","20"
"46","51","20"
"47","52","20"
"48","53","20"
"49","61","20"
"50","56","20"
"51","5","2"
"52","5","8"
"53","5","15"
"54","5","16"
"55","59","20"
"56","65","20"
"57","66","20"
"58","68","20"
"59","67","20"
"60","69","20"
"61","70","20"
"62","97","20"
"63","12","16"
"64","12","21"
"65","90","20"
"66","80","20"
"67","85","20"
"68","83","20"
"69","87","20"
"70","78","20"
"71","99","20"
"72","81","20"
"73","88","20"
"74","128","20"
"75","98","20"
"76","93","20"
"77","77","20"
"78","103","20"
"79","79","20"
"80","82","20"
"81","101","20"
"82","96","20"
"83","129","20"
"84","130","20"
"85","86","20"
"86","94","20"
"87","127","20"
"88","104","20"
"89","84","20"
"90","100","20"
"91","89","20"
"92","92","20"
"93","102","20"
"94","95","20"
"95","91","20"
"96","49","20"
"97","48","20"
"98","112","20"
"99","113","20"
"100","15","20"
"101","118","24"
"102","47","20"
"103","120","20"
"104","123","20"
"105","16","20"
"106","115","16"
"107","115","17"
