"Fd2ndCharacterID","LkupSpeciesID","Lkup2ndCharacter"
"1","17","46"
"2","17","49"
"3","17","50"
"4","19","46"
"5","19","50"
"6","21","46"
"7","21","50"
"8","1","16"
"9","1","51"
"10","72","14"
"11","106","47"
"12","63","63"
"13","7","64"
"14","8","64"
"15","23","43"
"16","23","46"
"17","23","56"
"18","20","27"
"19","20","46"
"20","20","57"
"21","18","23"
"22","18","46"
"23","18","62"
"24","24","44"
"25","24","46"
"26","24","59"
"27","57","64"
"28","124","47"
"29","75","64"
"30","29","26"
"31","13","32"
"32","33","47"
"33","11","1"
"34","11","2"
"35","35","9"
"36","35","10"
"37","35","33"
"38","35","35"
"39","35","36"
"40","35","38"
"41","35","40"
"42","36","9"
"43","36","12"
"44","36","34"
"45","36","39"
"46","38","47"
"47","10","61"
"48","25","7"
"49","25","46"
"50","25","58"
"51","25","60"
"52","125","46"
"53","50","52"
"54","50","53"
"55","50","66"
"56","54","64"
"57","126","46"
"58","64","13"
"59","64","55"
"60","58","64"
"61","28","25"
"62","28","54"
"63","30","25"
"64","44","45"
"65","44","66"
"66","122","47"
"67","121","47"
"68","46","47"
"69","37","47"
"70","34","8"
"71","34","10"
"72","34","31"
"73","34","37"
"74","109","28"
"75","110","41"
"76","6","64"
"77","55","64"
"78","26","46"
"79","26","59"
"80","62","11"
"81","62","64"
"82","51","47"
"83","52","64"
"84","53","64"
"85","61","64"
"86","56","64"
"87","5","19"
"88","5","67"
"89","59","64"
"90","65","47"
"91","66","47"
"92","68","47"
"93","67","47"
"94","69","47"
"95","22","46"
"96","22","57"
"97","22","59"
"98","70","47"
"99","74","18"
"100","12","6"
"101","12","17"
"102","12","29"
"103","12","30"
"104","90","64"
"105","80","64"
"106","85","64"
"107","83","64"
"108","87","64"
"109","78","64"
"110","99","64"
"111","81","64"
"112","88","64"
"113","128","64"
"114","98","64"
"115","93","64"
"116","77","21"
"117","77","64"
"118","103","64"
"119","79","20"
"120","79","64"
"121","82","64"
"122","101","64"
"123","96","64"
"124","129","64"
"125","130","64"
"126","86","64"
"127","94","64"
"128","127","64"
"129","104","64"
"130","84","64"
"131","100","64"
"132","89","64"
"133","92","22"
"134","92","64"
"135","102","64"
"136","95","64"
"137","91","64"
"138","41","15"
"139","41","42"
"140","48","3"
"141","48","65"
"142","112","47"
"143","113","47"
"144","15","64"
"145","47","4"
"146","47","5"
"147","120","47"
"148","123","47"
"149","16","24"
"150","16","48"
