"CompetitionInfo","ReferenceName"
"70","244"
"71","33"
"73","75"
"39","1178"
"39","632"
"39","489"
"39","1177"
"38","607"
"38","608"
"38","631"
"36","1182"
"40","629"
"40","631"
"37","608"
"34","1184"
"35","1222"
"44","1178"
"44","632"
"44","489"
"44","1177"
"42","607"
"42","608"
"42","631"
"43","1182"
"45","629"
"45","631"
"41","1184"
"59","33"
"30","471"
"31","33"
"32","471"
"62","244"
"60","244"
"61","471"
"48","749"
"64","869"
"63","869"
"72","471"
"52","130"
"53","130"
"46","1222"
"54","1222"
"47","1222"
"67","1222"
"56","1322"
"55","1322"
"68","385"
"68","979"
"69","111"
"49","1222"
"49","1225"
"50","1225"
"51","285"
"65","1502"
"65","795"
"66","1502"
"66","795"
"57","436"
"58","436"
"29","725"
"46","1224"
"47","1224"
"54","1224"
"67","1224"
