"ReferenceName","DepthID"
"857","129"
"857","73"
"857","114"
"857","82"
"857","141"
"857","95"
"37","89"
"931","97"
"931","104"
"857","112"
"931","101"
"857","101"
"857","111"
"439","53"
"842","53"
"857","77"
"857","150"
"857","153"
"857","105"
"439","59"
"857","151"
"439","151"
"857","63"
"857","136"
"439","136"
"857","144"
"439","154"
"842","154"
"439","117"
"439","32"
"857","32"
"857","84"
"857","58"
"857","142"
"439","60"
"439","41"
"857","33"
"857","147"
"439","79"
"857","79"
"857","131"
"857","135"
"857","134"
"857","75"
"857","25"
"857","24"
"857","20"
"857","19"
"857","23"
"857","44"
"857","52"
"857","22"
"439","115"
"857","115"
"857","17"
"439","106"
"471","110"
"857","118"
"857","98"
"857","18"
"857","28"
"857","16"
"857","92"
"439","15"
"857","15"
"857","62"
"857","40"
"857","67"
"439","30"
"439","27"
"857","27"
"857","126"
"857","152"
"857","108"
"439","108"
"857","99"
"931","140"
"931","26"
"857","81"
"931","96"
"931","83"
"857","100"
"1034","113"
"248","57"
"931","68"
"857","69"
"931","109"
"931","120"
"857","91"
"857","88"
"857","139"
"857","94"
"857","103"
"857","102"
"857","127"
"857","128"
"857","124"
"857","137"
"439","70"
"857","125"
"857","71"
"857","61"
"857","78"
"857","90"
"857","72"
"857","76"
"857","133"
"857","155"
"857","74"
"857","130"
"857","21"
"857","10"
"857","1"
"857","14"
"857","3"
"857","54"
"857","7"
"857","48"
"857","149"
"857","49"
"857","50"
"857","38"
"857","4"
"857","6"
"857","8"
"857","11"
"857","51"
"857","39"
"857","55"
"857","5"
"857","145"
"857","9"
"857","66"
"857","64"
"857","36"
"857","56"
"857","29"
"857","35"
"857","2"
"857","13"
"857","45"
"857","46"
"857","43"
"857","12"
"857","123"
"857","138"
"857","87"
"857","86"
"857","148"
"439","122"
"857","122"
"439","143"
"857","143"
"857","93"
"857","146"
