"ReferenceName","MatingID"
"1047","89"
"541","6"
"178","6"
"541","9"
"1346","8"
"577","10"
"71","10"
"760","10"
"359","48"
"71","48"
"760","48"
"304","95"
"363","3"
"802","14"
"1","51"
"1","52"
"1","53"
"1","54"
"1","55"
"1","56"
"1","57"
"1","58"
"1","59"
"1","60"
"1","61"
"1","62"
"1","63"
"1","64"
"1","65"
"1","66"
"1","67"
"1","68"
"1","69"
"1","70"
"1","71"
"330","92"
"675","92"
"1390","92"
"351","49"
"1106","88"
"1","72"
"1","73"
"1","74"
"1","75"
"1","76"
"1","77"
"1","78"
"1","79"
"1","80"
"1","81"
"1","82"
"1","83"
"1","84"
"1","85"
"1","86"
"130","17"
"1347","17"
"130","15"
"718","2"
"866","2"
"788","2"
"506","4"
"1","87"
"178","7"
"1324","7"
"179","7"
"1322","50"
"980","93"
"436","5"
"1061","11"
"453","91"
"1341","91"
"1222","1"
"1224","1"
"1225","1"
"1220","1"
"1218","1"
"1218","18"
"847","16"
"1446","19"
"1446","20"
"1446","21"
"1446","22"
"1446","23"
"1446","24"
"1446","25"
"1446","26"
"1446","27"
"1446","28"
"1446","29"
"1446","30"
"1446","31"
"1446","32"
"1446","33"
"1446","34"
"1446","35"
"1446","36"
"1446","37"
"1446","38"
"1446","39"
"1446","40"
"1446","41"
"1446","42"
"1446","43"
"1446","44"
"1446","45"
"1446","46"
"1446","47"
"1","12"
"1","13"
"883","90"
