"ReferenceName","MeanFecundityID"
"506","5"
"1259","52"
"462","52"
"842","53"
"1377","53"
"950","53"
"1382","54"
"1382","55"
"1317","56"
"331","57"
"436","7"
"842","6"
"577","92"
"71","92"
"311","93"
"359","94"
"453","94"
"359","95"
"842","96"
"506","97"
"895","28"
"1278","28"
"842","28"
"1278","29"
"724","51"
"803","104"
"1010","105"
"2","159"
"244","159"
"1298","160"
"1251","162"
"290","163"
"436","163"
"466","163"
"842","164"
"650","161"
"1298","74"
"842","74"
"1471","73"
"290","76"
"466","76"
"650","75"
"1471","70"
"1298","71"
"261","71"
"842","72"
"1127","26"
"244","24"
"842","24"
"577","24"
"333","24"
"244","25"
"577","25"
"1146","25"
"991","141"
"749","142"
"1146","140"
"755","143"
"290","147"
"842","147"
"577","147"
"261","148"
"45","144"
"749","145"
"470","146"
"647","149"
"290","150"
"992","150"
"842","151"
"842","9"
"749","31"
"290","32"
"842","32"
"261","32"
"577","32"
"439","32"
"842","80"
"406","80"
"404","80"
"470","80"
"842","103"
"75","165"
"842","166"
"892","77"
"1298","78"
"842","79"
"650","79"
"244","98"
"577","98"
"894","99"
"894","100"
"894","101"
"894","102"
"577","102"
"244","33"
"842","33"
"226","1"
"842","1"
"736","2"
"358","3"
"736","4"
"59","10"
"330","12"
"79","13"
"528","14"
"736","15"
"351","11"
"59","20"
"129","22"
"736","22"
"842","22"
"454","21"
"736","23"
"364","34"
"842","34"
"736","35"
"736","36"
"842","45"
"129","46"
"736","46"
"59","88"
"506","89"
"842","89"
"1408","18"
"842","18"
"736","19"
"1389","16"
"558","17"
"214","84"
"214","82"
"214","83"
"214","85"
"842","90"
"1382","91"
"842","86"
"1382","86"
"748","87"
"130","58"
"130","59"
"1383","60"
"1383","61"
"842","62"
"130","63"
"1383","64"
"842","27"
"84","27"
"454","27"
"211","27"
"1158","30"
"248","81"
"1391","132"
"367","133"
"367","134"
"1322","65"
"1324","65"
"1321","65"
"1322","66"
"1324","67"
"1041","68"
"539","69"
"577","152"
"983","152"
"178","152"
"982","152"
"842","155"
"1060","157"
"1060","156"
"436","154"
"1045","158"
"578","153"
"577","136"
"577","137"
"982","138"
"436","139"
"577","37"
"1382","37"
"842","40"
"436","40"
"1382","41"
"454","42"
"983","42"
"178","43"
"436","44"
"578","38"
"1045","39"
"367","48"
"367","47"
"285","49"
"285","50"
"842","50"
"353","135"
"874","106"
"1307","106"
"874","107"
"874","108"
"1307","108"
"874","109"
"554","110"
"874","111"
"554","112"
"554","113"
"554","114"
"554","115"
"874","116"
"554","117"
"554","118"
"1307","118"
"874","119"
"874","120"
"874","121"
"554","122"
"554","123"
"874","124"
"577","125"
"874","126"
"554","127"
"554","128"
"874","129"
"849","130"
"874","131"
"453","8"
"1307","8"
"506","167"
"883","167"
"895","168"
"842","168"
