"ReferenceName","2ndCharacterID"
"484","8"
"506","9"
"692","87"
"167","88"
"1278","33"
"1278","34"
"363","31"
"1010","100"
"1038","100"
"1010","101"
"1010","102"
"1038","102"
"802","103"
"1","148"
"1","67"
"1","66"
"1","28"
"1","142"
"1","143"
"1","32"
"1","11"
"1","46"
"1","69"
"1","98"
"1002","149"
"75","150"
"888","68"
"1","147"
"1","82"
"1474","90"
"1","91"
"1474","93"
"1","92"
"1","94"
"720","47"
"148","1"
"443","2"
"232","2"
"676","3"
"148","4"
"676","5"
"148","6"
"676","7"
"135","7"
"1423","15"
"1424","15"
"50","15"
"79","15"
"426","15"
"1292","15"
"1200","15"
"1422","15"
"506","15"
"339","21"
"230","21"
"148","22"
"608","23"
"817","23"
"518","24"
"506","24"
"148","25"
"607","26"
"149","26"
"1230","26"
"443","48"
"148","49"
"50","50"
"607","50"
"1106","51"
"148","52"
"148","57"
"148","78"
"50","79"
"148","95"
"842","96"
"817","97"
"1347","18"
"148","19"
"842","20"
"1","76"
"1","13"
"1","14"
"506","80"
"1032","81"
"1","77"
"1","27"
"1","56"
"1","60"
"1","89"
"1","83"
"1","86"
"1","85"
"1","84"
"1","144"
"130","61"
"1429","61"
"1429","62"
"130","63"
"1429","63"
"1378","30"
"287","35"
"1162","36"
"443","37"
"1110","38"
"357","38"
"443","39"
"1","40"
"443","41"
"1162","42"
"759","42"
"527","42"
"1094","43"
"1479","44"
"1094","45"
"1094","70"
"1162","71"
"1425","72"
"1202","72"
"287","73"
"1391","138"
"324","139"
"179","64"
"178","65"
"439","145"
"578","146"
"439","140"
"385","141"
"578","53"
"506","54"
"1455","54"
"178","55"
"578","55"
"1175","55"
"1341","12"
"1219","58"
"822","59"
"842","10"
"852","29"
"1025","99"
"275","104"
"277","104"
"275","105"
"277","105"
"275","106"
"277","106"
"275","107"
"277","107"
"275","108"
"277","108"
"275","109"
"277","109"
"275","110"
"277","110"
"275","111"
"277","111"
"275","112"
"277","112"
"275","113"
"277","113"
"275","114"
"277","114"
"275","115"
"277","115"
"275","117"
"277","117"
"1450","116"
"275","118"
"277","118"
"275","120"
"277","120"
"1450","119"
"275","121"
"277","121"
"275","122"
"277","122"
"275","123"
"277","123"
"275","124"
"277","124"
"275","125"
"277","125"
"275","126"
"277","126"
"275","127"
"277","127"
"275","128"
"277","128"
"275","129"
"277","129"
"275","130"
"277","130"
"275","131"
"277","131"
"275","132"
"277","132"
"275","134"
"277","134"
"1450","133"
"275","135"
"277","135"
"275","136"
"277","136"
"275","137"
"277","137"
"1369","137"
"436","74"
"1097","74"
"1347","74"
"38","75"
