"ReferenceName","SettlementSizeID"
"1397","1"
"885","2"
"436","3"
"1278","25"
"1010","77"
"842","37"
"1269","38"
"130","38"
"130","39"
"544","44"
"714","45"
"817","21"
"1283","21"
"1431","22"
"1001","23"
"298","111"
"301","112"
"172","10"
"285","34"
"28","4"
"380","4"
"380","5"
"27","6"
"242","46"
"294","47"
"295","47"
"207","48"
"241","49"
"1194","7"
"593","8"
"1194","121"
"33","50"
"499","50"
"436","50"
"18","50"
"1084","51"
"765","52"
"1101","11"
"18","12"
"842","13"
"765","14"
"18","15"
"443","15"
"1163","16"
"842","17"
"113","18"
"1330","57"
"577","58"
"1205","53"
"777","54"
"1330","55"
"548","56"
"946","56"
"244","19"
"765","28"
"842","29"
"1288","30"
"113","31"
"499","32"
"427","33"
"436","33"
"842","35"
"1330","36"
"842","68"
"1330","69"
"577","70"
"1288","60"
"1288","65"
"765","66"
"842","67"
"1288","62"
"765","63"
"842","64"
"1288","61"
"967","115"
"113","115"
"765","116"
"842","117"
"969","76"
"808","78"
"772","79"
"1307","79"
"244","80"
"772","81"
"1307","82"
"55","83"
"1270","83"
"55","84"
"963","85"
"719","86"
"808","87"
"772","88"
"154","90"
"1270","90"
"506","90"
"789","91"
"55","92"
"55","93"
"808","94"
"1307","94"
"934","95"
"55","96"
"772","96"
"1124","97"
"55","98"
"772","98"
"275","99"
"772","100"
"55","101"
"719","101"
"55","102"
"808","103"
"1406","104"
"55","105"
"244","106"
"1369","107"
"969","108"
"966","108"
"976","110"
"969","110"
"966","110"
"244","109"
"1369","109"
"1500","89"
"1501","89"
