"ReferenceName","SexualDimorphismID"
"506","1"
"326","2"
"453","18"
"1317","18"
"577","3"
"443","3"
"1186","3"
"453","28"
"692","28"
"1278","11"
"363","10"
"802","32"
"1010","33"
"344","62"
"842","21"
"344","21"
"1471","21"
"1471","20"
"842","61"
"470","61"
"842","22"
"888","22"
"1474","29"
"1475","29"
"244","30"
"244","12"
"550","24"
"1107","24"
"842","24"
"113","24"
"1469","24"
"842","4"
"73","4"
"269","5"
"842","27"
"1032","27"
"842","25"
"748","25"
"592","25"
"1316","8"
"842","17"
"244","17"
"1391","58"
"300","58"
"453","19"
"178","19"
"179","19"
"454","19"
"1041","19"
"980","60"
"577","15"
"983","15"
"111","15"
"816","15"
"578","15"
"1061","15"
"822","16"
"1426","9"
"852","9"
"847","31"
"813","34"
"813","35"
"813","36"
"813","37"
"813","38"
"813","39"
"813","40"
"813","41"
"813","42"
"813","43"
"813","44"
"813","45"
"813","46"
"813","47"
"813","48"
"1268","49"
"831","50"
"813","51"
"813","52"
"813","53"
"813","54"
"813","55"
"813","56"
"1332","57"
"38","23"
"453","59"
"454","63"
