"ReferenceName","SizeRangeID"
"895","10"
"1397","11"
"326","13"
"895","14"
"1397","15"
"484","16"
"1397","12"
"178","273"
"18","274"
"1382","274"
"334","274"
"967","275"
"950","276"
"487","276"
"967","277"
"895","278"
"178","32"
"436","33"
"895","34"
"1382","34"
"967","35"
"18","36"
"967","38"
"895","39"
"436","40"
"927","41"
"967","37"
"895","22"
"1382","22"
"436","22"
"967","23"
"18","24"
"895","27"
"350","28"
"967","29"
"436","30"
"927","31"
"436","25"
"967","26"
"673","469"
"967","470"
"1382","471"
"178","472"
"967","473"
"1382","474"
"192","643"
"1405","644"
"109","645"
"1239","646"
"1405","648"
"1285","649"
"1289","649"
"1289","647"
"967","158"
"895","159"
"895","160"
"1278","160"
"967","162"
"895","163"
"1278","161"
"895","142"
"363","143"
"1125","148"
"93","149"
"90","150"
"895","151"
"526","152"
"363","717"
"363","718"
"724","244"
"895","245"
"436","267"
"1125","268"
"1463","269"
"895","270"
"1382","271"
"724","272"
"291","246"
"1245","247"
"871","248"
"1300","249"
"1300","250"
"1088","251"
"448","252"
"1330","253"
"115","254"
"377","256"
"377","257"
"377","262"
"1088","258"
"1088","259"
"68","260"
"69","260"
"1443","261"
"377","263"
"165","264"
"377","255"
"68","721"
"69","721"
"377","722"
"377","723"
"1089","724"
"1088","725"
"448","726"
"1330","727"
"1443","728"
"291","729"
"377","730"
"1088","731"
"1088","732"
"1443","733"
"165","734"
"803","501"
"1010","502"
"895","503"
"363","504"
"87","505"
"443","506"
"1010","514"
"91","515"
"48","516"
"1125","517"
"884","518"
"95","519"
"93","520"
"1382","521"
"1098","510"
"1010","511"
"1010","512"
"1010","742"
"1098","743"
"1010","744"
"436","697"
"290","697"
"842","697"
"749","697"
"290","309"
"842","309"
"1471","310"
"1471","306"
"842","118"
"118","671"
"577","672"
"290","675"
"127","676"
"290","156"
"842","156"
"290","55"
"290","194"
"842","195"
"404","317"
"290","318"
"842","318"
"410","316"
"842","492"
"842","702"
"842","313"
"888","314"
"1471","312"
"1475","482"
"244","487"
"345","200"
"345","201"
"1338","1"
"426","2"
"488","5"
"226","3"
"1338","4"
"135","8"
"1382","73"
"436","74"
"426","74"
"506","74"
"1200","75"
"506","76"
"1292","77"
"59","78"
"79","79"
"1292","80"
"1345","81"
"1285","82"
"1203","83"
"165","83"
"1208","84"
"226","85"
"115","86"
"454","87"
"79","88"
"256","88"
"577","89"
"426","95"
"699","96"
"454","97"
"59","98"
"700","99"
"129","100"
"627","101"
"626","101"
"1181","101"
"1184","101"
"149","103"
"1382","103"
"149","104"
"675","105"
"1295","106"
"630","106"
"506","107"
"1184","108"
"483","109"
"1382","110"
"437","203"
"1382","203"
"1382","207"
"229","204"
"437","205"
"577","206"
"351","206"
"1448","209"
"1208","229"
"129","230"
"59","423"
"80","424"
"506","424"
"519","425"
"1373","92"
"351","93"
"558","93"
"967","400"
"18","401"
"436","402"
"967","406"
"436","407"
"18","408"
"765","403"
"32","404"
"500","404"
"768","405"
"244","62"
"967","63"
"577","64"
"1163","65"
"967","66"
"18","67"
"967","68"
"967","70"
"18","71"
"113","72"
"1163","69"
"967","427"
"577","428"
"18","429"
"244","429"
"18","432"
"967","433"
"577","434"
"113","435"
"244","430"
"967","431"
"967","409"
"18","410"
"577","410"
"1330","411"
"436","412"
"946","415"
"577","416"
"436","417"
"967","418"
"18","419"
"436","413"
"571","413"
"967","414"
"967","112"
"577","112"
"18","113"
"967","115"
"577","116"
"244","116"
"244","114"
"967","222"
"436","222"
"18","222"
"1288","222"
"436","223"
"427","224"
"18","226"
"967","227"
"436","228"
"967","225"
"967","235"
"244","235"
"1330","235"
"661","235"
"18","236"
"577","237"
"661","237"
"967","240"
"18","241"
"18","242"
"577","243"
"244","238"
"967","239"
"967","475"
"18","476"
"577","476"
"1330","476"
"18","479"
"967","480"
"577","481"
"967","477"
"244","478"
"967","438"
"1288","439"
"18","440"
"1288","441"
"577","442"
"577","443"
"967","444"
"18","445"
"967","461"
"18","462"
"18","463"
"461","464"
"967","466"
"18","467"
"461","468"
"967","465"
"967","456"
"18","457"
"1288","458"
"18","459"
"967","460"
"461","446"
"967","447"
"244","448"
"18","448"
"577","451"
"461","452"
"244","453"
"18","454"
"967","455"
"895","279"
"967","280"
"967","281"
"895","282"
"18","681"
"967","682"
"967","684"
"18","685"
"967","683"
"1429","283"
"967","284"
"130","285"
"1429","286"
"130","287"
"967","288"
"967","133"
"967","134"
"1420","135"
"1397","17"
"1397","20"
"1404","21"
"1098","716"
"1098","19"
"1400","709"
"1404","710"
"615","707"
"609","708"
"615","745"
"609","746"
"370","164"
"357","165"
"322","166"
"91","178"
"90","179"
"1138","180"
"884","181"
"895","182"
"527","183"
"1137","184"
"1138","171"
"92","172"
"203","173"
"1137","174"
"828","719"
"203","720"
"527","185"
"759","186"
"895","191"
"527","192"
"95","189"
"895","320"
"472","321"
"1425","322"
"481","323"
"370","324"
"248","325"
"1070","326"
"788","327"
"516","328"
"1013","329"
"515","334"
"1077","359"
"248","360"
"472","362"
"1077","363"
"248","364"
"138","365"
"481","366"
"90","367"
"91","368"
"1137","369"
"1077","370"
"248","371"
"1077","372"
"248","373"
"1077","374"
"248","375"
"248","376"
"247","377"
"1138","378"
"14","379"
"895","380"
"884","381"
"95","361"
"1121","335"
"472","336"
"1077","337"
"1425","338"
"942","338"
"271","338"
"248","338"
"472","340"
"472","341"
"255","342"
"1118","343"
"942","344"
"1098","345"
"92","346"
"92","347"
"1138","348"
"254","357"
"1118","735"
"203","736"
"1098","737"
"1301","738"
"472","739"
"254","740"
"1399","136"
"1399","138"
"1283","138"
"1283","137"
"1399","153"
"1399","289"
"1399","291"
"1283","292"
"1399","155"
"1283","155"
"1399","154"
"1283","290"
"1400","141"
"959","382"
"1400","383"
"162","383"
"178","383"
"1400","384"
"1382","385"
"1400","641"
"1400","642"
"967","53"
"1324","295"
"1324","296"
"1324","297"
"1324","298"
"967","299"
"1324","300"
"1324","303"
"967","304"
"982","301"
"707","302"
"270","139"
"270","140"
"587","688"
"577","689"
"436","690"
"1045","690"
"436","693"
"436","691"
"589","692"
"1382","664"
"385","665"
"436","666"
"436","669"
"436","667"
"589","668"
"589","663"
"1455","211"
"1382","212"
"577","213"
"436","214"
"1175","215"
"967","216"
"967","219"
"1455","220"
"436","221"
"589","217"
"436","218"
