"ReferenceName","FdSpawnFrequencyID"
"1259","48"
"487","48"
"453","48"
"1259","49"
"487","49"
"453","49"
"280","49"
"178","5"
"350","5"
"281","5"
"436","5"
"1346","5"
"842","4"
"350","4"
"492","4"
"436","4"
"453","75"
"112","75"
"1076","74"
"109","122"
"1239","123"
"1285","123"
"314","123"
"895","26"
"1278","26"
"1307","26"
"363","24"
"372","45"
"372","46"
"372","47"
"802","83"
"1010","84"
"803","84"
"244","136"
"466","136"
"1","56"
"1","55"
"1","17"
"244","130"
"244","131"
"127","132"
"1146","25"
"1","9"
"1","31"
"1","58"
"1","82"
"888","137"
"888","57"
"1","135"
"1","72"
"1","76"
"1","77"
"1","79"
"1","78"
"1","80"
"1","32"
"78","1"
"559","1"
"78","2"
"559","2"
"78","3"
"559","3"
"78","12"
"559","12"
"78","14"
"559","14"
"622","14"
"1181","14"
"78","15"
"559","15"
"78","33"
"559","33"
"78","34"
"559","34"
"78","40"
"559","40"
"78","70"
"559","70"
"78","81"
"559","81"
"78","13"
"559","13"
"558","13"
"214","65"
"73","10"
"1101","10"
"842","10"
"244","10"
"577","10"
"506","10"
"1101","11"
"471","11"
"506","71"
"1032","71"
"768","66"
"571","67"
"842","67"
"800","68"
"571","16"
"842","73"
"130","50"
"130","51"
"842","52"
"84","22"
"454","22"
"982","23"
"371","23"
"454","23"
"1158","27"
"759","29"
"527","30"
"248","59"
"367","120"
"1391","121"
"367","121"
"432","8"
"1322","53"
"1322","54"
"539","54"
"983","133"
"88","133"
"982","133"
"842","134"
"586","134"
"439","134"
"982","129"
"385","129"
"979","129"
"436","129"
"453","128"
"983","128"
"577","38"
"842","38"
"454","38"
"111","38"
"1455","38"
"578","38"
"211","38"
"1175","38"
"178","39"
"436","35"
"1175","36"
"1175","37"
"1222","44"
"761","44"
"367","44"
"1225","44"
"1220","44"
"1219","44"
"367","42"
"1225","43"
"1218","43"
"285","41"
"1033","6"
"747","7"
"1033","7"
"521","20"
"436","20"
"1426","20"
"467","20"
"1307","20"
"436","18"
"1426","18"
"852","18"
"1307","18"
"1426","21"
"852","21"
"1307","21"
"852","19"
"521","125"
"365","125"
"353","126"
"361","124"
"874","85"
"798","85"
"1148","85"
"906","86"
"1451","86"
"110","86"
"842","86"
"348","87"
"874","88"
"798","88"
"1307","88"
"348","89"
"849","90"
"798","91"
"874","92"
"849","92"
"849","93"
"849","94"
"1307","94"
"842","94"
"1201","95"
"1201","96"
"849","97"
"906","98"
"1270","99"
"1379","100"
"1362","101"
"849","102"
"1307","102"
"244","103"
"1307","103"
"942","104"
"944","104"
"1307","104"
"798","105"
"874","106"
"849","106"
"546","107"
"1201","108"
"849","109"
"874","110"
"849","111"
"1392","112"
"874","113"
"849","114"
"842","114"
"849","115"
"842","115"
"874","116"
"836","116"
"838","116"
"874","117"
"798","117"
"150","118"
"244","118"
"842","118"
"150","119"
"1369","119"
"842","119"
"1285","61"
"1097","61"
"1016","61"
"358","61"
"1470","61"
"367","60"
"1016","62"
"367","63"
"1016","64"
"358","64"
"1285","127"
"577","127"
"1376","127"
"506","127"
"1080","127"
"883","138"
"506","139"
"520","69"
