Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1983,Aleutian Islands,ALL,0,0,0,0,0,0
1986,Aleutian Islands,ALL,0.178564473327703,0.0676149634991391,0.305426891930023,0.800101640587057,6.64121556612861,6.02880888371733
1991,Aleutian Islands,ALL,0.0682748028906336,0.0540595071653571,-0.810663785029118,0.772352295367395,-3.68047350346172,6.80383365106903
1994,Aleutian Islands,ALL,0.0685185303437782,0.0470079793093784,-0.39161831973999,0.640257806344358,6.10571670821739,6.89179533071496
1997,Aleutian Islands,ALL,0.0507562780871358,0.0533035432142187,0.193944379667128,0.678902793373438,1.85913856364226,6.83392846984695
2000,Aleutian Islands,ALL,0.0406000453036077,0.0570475208877023,0.221446118833073,0.727451586327696,16.3978373015254,9.08457311852961
2002,Aleutian Islands,ALL,0.00289192859315447,0.0554192144741699,-0.1670640514719,0.672370829839807,9.4502574893321,8.02849535877185
2004,Aleutian Islands,ALL,0.111696866202044,0.0651852196426688,-0.389486627233478,0.72553807953589,-0.797272371759806,6.28948091090993
2006,Aleutian Islands,ALL,0.123341267573111,0.0498243753836397,0.903309696427362,0.659680161265675,12.2673844009682,6.10018264479033
2010,Aleutian Islands,ALL,0.047468688939257,0.0568032276677678,-0.912752122910208,0.780051415023004,-4.72824281058112,7.84412119458042
2012,Aleutian Islands,ALL,0.0162887231769274,0.0581261536553203,-0.689128591961296,0.699276129454042,-2.26591387864748,7.08288113128577
2014,Aleutian Islands,ALL,0.136385761602531,0.0602787684610843,0.10788016035229,0.706742182394948,-3.01778106189682,7.32848124786462
2016,Aleutian Islands,ALL,0.0512563614827831,0.0518858459579006,-0.245357431506195,0.722062734923908,-3.88871331114977,6.87486803203652
2018,Aleutian Islands,ALL,0.0325756277821624,0.0604791641855133,0.669039012858765,0.662413464855638,-2.12731458529165,5.99884089864704
1986,Aleutian Islands,Acantholithodes hispidus,52.1259363855422,NaN,-172.987967228916,NaN,92.0481927710843,NaN
1991,Aleutian Islands,Acantholithodes hispidus,52.1988518357484,0.155349694406001,-173.257280188424,0.662210242753777,126.85720859087,20.8024390770253
1994,Aleutian Islands,Acantholithodes hispidus,52.1598537232497,0.114615594291214,-173.322178514303,0.578724776361632,122.100025024018,13.2287487090699
1997,Aleutian Islands,Acantholithodes hispidus,52.11942840843,0.015935544861986,-174.565557818571,3.86291549306526,101.208842015828,22.4309235400515
2000,Aleutian Islands,Acantholithodes hispidus,52.2080592542795,0.288034993057541,-172.740132261909,1.0415584637084,93.5289733220643,8.38969243691327
2002,Aleutian Islands,Acantholithodes hispidus,52.104271220406,0.0255723092667735,-177.618216140475,3.1698930320781,124.477407295824,18.40990263639
2004,Aleutian Islands,Acantholithodes hispidus,52.3387088805865,0.067731133337388,-173.286652674209,1.04298397220507,139.417973686575,9.54767027233598
2006,Aleutian Islands,Acantholithodes hispidus,52.2265710651197,0.240218731277567,-175.573277828585,2.47457740995995,96.2730424722114,9.83568321114057
2010,Aleutian Islands,Acantholithodes hispidus,52.939309216741,0.366899308477114,-170.177733889042,1.35848349809824,104.001653444521,12.4002612869969
2012,Aleutian Islands,Acantholithodes hispidus,52.1364197181273,0.159525144650161,-173.881556663674,1.37397674381164,134.958670413884,13.3495468373569
2014,Aleutian Islands,Acantholithodes hispidus,52.4162062142857,NaN,-172.730980785714,NaN,148.346428571429,NaN
2016,Aleutian Islands,Acantholithodes hispidus,52.2556852182629,0.187294994844762,-172.599891107433,0.624137452322817,119.08429045339,17.1421593520869
2018,Aleutian Islands,Acantholithodes hispidus,52.0404962218533,0.156725941763436,-174.059371981262,1.25131576947655,116.166542354422,16.8464166602711
1983,Aleutian Islands,Actiniaria spp.,52.7930235578525,0.11150842972394,-183.269498242186,3.33114543016615,94.1537736755234,11.2860489501651
1986,Aleutian Islands,Actiniaria spp.,52.7385380686695,NaN,-187.202070622318,NaN,148.118025751073,NaN
1991,Aleutian Islands,Actiniaria spp.,52.9392511526842,0.13050420892322,-178.312732056992,1.8161886677264,108.138772492319,11.3442084802904
1994,Aleutian Islands,Actiniaria spp.,52.7612938141685,0.124753678550494,-177.168757201732,1.40173477327672,166.084909313047,17.7755214804604
1997,Aleutian Islands,Actiniaria spp.,52.8129161804576,0.161641277564975,-175.400930856865,1.54563343017378,147.037999709088,16.2808718154338
2000,Aleutian Islands,Actiniaria spp.,52.5320937823043,0.15654276563216,-178.557663083139,1.58953256424404,164.903654532157,22.2132928504979
2002,Aleutian Islands,Actiniaria spp.,52.3274915723904,0.15930773300229,-175.469419879128,1.08955007109245,160.21141524512,15.8638117420105
2004,Aleutian Islands,Actiniaria spp.,52.4220497595371,0.0748796595475003,-181.303717944853,1.14376376675347,144.83904841591,17.0169716193272
2006,Aleutian Islands,Actiniaria spp.,52.4645972096071,0.103197899890142,-178.450595759231,1.70507138013219,152.61111319657,10.2084739283989
2010,Aleutian Islands,Actiniaria spp.,52.4599133438541,0.160925810483522,-179.491454850689,2.1115624370592,135.06767805809,10.2797646133989
2012,Aleutian Islands,Actiniaria spp.,52.3300254129525,0.162847452015987,-172.488672815029,0.912470139430942,168.054327839105,17.6839516503358
2014,Aleutian Islands,Actiniaria spp.,52.8297995118878,0.147096551397409,-179.418909029016,2.01474048885398,146.995153720139,9.10396756263757
2016,Aleutian Islands,Actiniaria spp.,52.4766262728046,0.199562144857772,-174.528994284323,2.02615460619317,168.904933500318,17.0102632028582
2018,Aleutian Islands,Actiniaria spp.,53.3967931180984,0.238026972616195,-170.29678736453,1.85343478386693,117.918616053805,15.8161873650796
1983,Aleutian Islands,Ammodytes sp.,52.7195151719126,0.00889697757915477,-186.721873704495,0.260409232705556,115.66472953837,30.4320366176343
1986,Aleutian Islands,Ammodytes sp.,53.9640068543046,NaN,-166.586499337748,NaN,81.0695364238411,NaN
1991,Aleutian Islands,Ammodytes sp.,51.9076877989449,0.0663617102151751,-180.658042777193,0.23703001610695,87.645344741582,14.1028016120429
1994,Aleutian Islands,Ammodytes sp.,52.2171827972729,0.124084058857327,-177.892661399902,1.84436406261267,87.7516069731742,2.94760604618696
1997,Aleutian Islands,Ammodytes sp.,51.7854281804262,0.196060501684865,-179.52558383645,1.46268651927785,84.990372803651,6.78201188657909
2000,Aleutian Islands,Ammodytes sp.,52.7129801201084,0.00841614470443228,-186.444247524424,0.0385530872740902,87.3464437041201,1.22912677022926
2002,Aleutian Islands,Ammodytes sp.,51.7130019883551,0.0927444115767941,-181.961582342048,0.439897515889483,85.998923086107,1.85325445686564
2004,Aleutian Islands,Ammodytes sp.,52.6941116541499,0.0885009198474761,-186.292513641238,0.69789564013149,87.2261201622323,0.31693258530861
2006,Aleutian Islands,Ammodytes sp.,52.7298729277414,0.0212535930595474,-186.982719989314,0.236673984440619,131.603319159087,13.5291700547322
