Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
2003,West Coast Annual,ALL,0,0,0,0,0,0
2004,West Coast Annual,ALL,0.322931393495483,0.210613124402725,0.144862872565491,0.0455295486262323,-2.65506921110045,4.17498301852453
2005,West Coast Annual,ALL,0.348134275452219,0.194545761304199,0.1142094414878,0.0394658965857801,-4.91514554254575,3.85058780056115
2006,West Coast Annual,ALL,0.578751976336242,0.195513892808774,0.0727030529300413,0.0394983623529582,-7.36375937699813,3.92784730175908
2007,West Coast Annual,ALL,0.959133637523273,0.196246076726539,-0.0304184479016194,0.0347721686097159,-8.97197387008152,3.56818787052534
2008,West Coast Annual,ALL,0.604219285299083,0.220080918157967,0.106465413060054,0.0440321240787929,-6.11659439804147,3.73045641722495
2009,West Coast Annual,ALL,0.730504027815103,0.209441939900869,0.0394080664659763,0.0384799266840265,-5.05177729489514,4.0417974777741
2010,West Coast Annual,ALL,1.01636120407567,0.203859660135402,-0.0254206962347706,0.0371075858603408,7.58445467037531,4.15167152495204
2011,West Coast Annual,ALL,0.838550364601671,0.219384054565927,0.0128542706478759,0.0390071838738523,-2.74326797348893,3.79525625695735
2012,West Coast Annual,ALL,0.888942441716119,0.217782268164922,0.0388743084421772,0.0384130279502072,-1.59160985637322,4.03793530573264
2013,West Coast Annual,ALL,0.786137323427316,0.211790402817177,0.025768339439189,0.0428754206267026,0.980044417276095,4.37793388042701
2014,West Coast Annual,ALL,0.716710061739163,0.20994683787355,0.0390987867896935,0.0365825121689904,0.808239666930944,3.76953498748318
2015,West Coast Annual,ALL,1.0909018043106,0.174986307107297,-0.0253894716494728,0.0341409497359425,2.29835460447826,4.270538311602
2016,West Coast Annual,ALL,0.887782741832968,0.20133661970514,-0.00744592044411941,0.0354775842727415,2.02742269700737,4.51487951669986
2017,West Coast Annual,ALL,1.38123247444886,0.190821057122777,-0.075692667684563,0.0341190292040554,5.54315574856655,4.10999781877475
2018,West Coast Annual,ALL,1.26071486626792,0.204772675174101,-0.03590592443587,0.0380831831051111,4.32010777457394,4.44167826273886
2003,West Coast Annual,Acantholithodes hispidus,46.9801938924078,0.827773874936489,-124.893289496642,0.0940557776254562,165.282902874095,27.740294170022
2004,West Coast Annual,Acantholithodes hispidus,44.6414887157813,NaN,-124.670082465312,NaN,244.465625,NaN
2005,West Coast Annual,Acantholithodes hispidus,44.2615955424437,0.39483004363442,-124.548212001944,0.0998328134734136,182.075632482922,46.2709447735698
2006,West Coast Annual,Acantholithodes hispidus,43.5750526185903,NaN,-124.539292706652,NaN,138.787665198238,NaN
2007,West Coast Annual,Acantholithodes hispidus,44.0245958316394,1.02453834051358,-124.618577974107,0.0812365763626923,149.093763693352,14.8341734569971
2008,West Coast Annual,Acantholithodes hispidus,47.5000041304833,NaN,-124.924042751078,NaN,145.814498141264,NaN
2009,West Coast Annual,Acantholithodes hispidus,47.0780797690347,1.47748456711627,-124.845829135268,0.301501884934269,144.816149746651,3.31548169254314
2010,West Coast Annual,Acantholithodes hispidus,45.0458713583865,0.339167653157954,-124.522782231047,0.0907408560794479,189.686333227575,28.5772580104999
2011,West Coast Annual,Acantholithodes hispidus,44.0567188744991,0.525673820697246,-124.577740063994,0.0383207328303749,152.126945406284,15.3380419769898
2012,West Coast Annual,Acantholithodes hispidus,45.2631055013982,0.696736513617005,-124.386436767949,0.10850857099669,149.36009937466,7.42545310612581
2013,West Coast Annual,Acantholithodes hispidus,44.682600220956,1.18161716999554,-124.609897047958,0.139363310917687,133.185598469189,14.573190474255
2014,West Coast Annual,Acantholithodes hispidus,44.7735940294617,0.552969221086666,-124.676487039168,0.0944622218883214,219.30860030988,32.3395848559461
2015,West Coast Annual,Acantholithodes hispidus,44.4341370397499,0.0170145212352932,-124.402695254204,0.114498385803224,98.6413617854291,26.4118909632825
2016,West Coast Annual,Acantholithodes hispidus,44.3981821867491,0.58173949405439,-124.516476867836,0.0455970043517686,128.927357617501,11.2146072771492
2017,West Coast Annual,Acantholithodes hispidus,45.2599536434937,0.401156632480297,-124.430415057504,0.0781593845339307,153.424221487713,14.2246928750028
2018,West Coast Annual,Acantholithodes hispidus,44.4793756279024,0.273943431736685,-124.541430643113,0.0548215844102643,134.747054114451,3.913938816408
2004,West Coast Annual,Actinauge verrilli,44.765462563229,0.207366213672246,-124.72627263402,0.0210625428416804,345.083018022819,24.0803199159837
2005,West Coast Annual,Actinauge verrilli,44.722796961573,0.556141675198402,-124.660260168894,0.0711285452169842,347.659505575471,16.9303568161211
2006,West Coast Annual,Actinauge verrilli,44.465713498587,0.532768138187626,-124.69606919588,0.0579677555530829,337.341185905702,25.8535808656359
2007,West Coast Annual,Actinauge verrilli,44.343940675629,0.483045898485724,-124.71567699586,0.0532094177922938,351.255567920121,2.02901363898228
2008,West Coast Annual,Actinauge verrilli,43.862237425457,0.48067861585166,-124.605638779149,0.0733850311369921,242.26831214798,75.5986453094607
2009,West Coast Annual,Actinauge verrilli,45.2055036543556,0.315976310082213,-124.595825677228,0.0634562131859082,340.033415744476,39.460451015501
2010,West Coast Annual,Actinauge verrilli,44.7137115839362,NaN,-124.731708037766,NaN,350.768085106383,NaN
2011,West Coast Annual,Actinauge verrilli,45.0368922692609,0.286510181566941,-124.620656923882,0.0984504218440366,354.895658227759,3.65922772658199
2012,West Coast Annual,Actinauge verrilli,44.9040054797201,0.32417276852665,-124.702866144032,0.0478965783474133,344.308289546559,20.8138453912809
2013,West Coast Annual,Actinauge verrilli,45.1089490630306,0.356728889776854,-124.580231216847,0.0604186238964654,355.308809990705,8.03351597198496
2014,West Coast Annual,Actinauge verrilli,45.6012332891612,0.455010792835179,-124.571500660027,0.0459219426240651,287.700895045403,70.7982992898054
2015,West Coast Annual,Actinauge verrilli,46.2533271510344,1.36642999965616,-124.764765883165,0.328517107907254,287.868820801251,99.7680716639771
2016,West Coast Annual,Actinauge verrilli,44.5023144661744,0.580291489676038,-124.657164911729,0.0776076398006296,353.427259702624,2.96214003776869
2017,West Coast Annual,Actinauge verrilli,45.290892857381,NaN,-124.533377425079,NaN,358.139682539683,NaN
2018,West Coast Annual,Actinauge verrilli,45.02525088231,0.287676753548565,-124.624657128866,0.0988512784665631,354.746977696848,3.67412685692657
